customer_id,last_purchase_date,frequency,monetary,recency,r_score,f_score,m_score,segment,clv
12346.0,2010-06-28,25,170.36,525,1,4,3,At Risk,4259.0
12347.0,2011-10-31,4,92.9,35,4,2,2,Others,371.6
12348.0,2011-09-25,4,121.0,71,4,2,3,Others,484.0
12349.0,2011-11-21,33,1303.7,14,5,4,5,Champions,43022.1
12350.0,2011-02-02,1,40.0,306,2,1,1,Others,40.0
12351.0,2010-11-29,3,42.45,371,2,1,1,Others,127.35000000000001
12352.0,2011-11-03,20,1344.05,32,4,3,5,Loyal Customers,26881.0
12353.0,2011-05-19,1,19.9,200,3,1,1,Others,19.9
12354.0,2011-04-21,14,234.15,228,3,3,3,Loyal Customers,3278.1
12355.0,2011-05-09,4,80.15,210,3,2,2,Others,320.6
12356.0,2011-11-17,15,110.85,18,5,3,2,Loyal Customers,1662.75
12357.0,2011-11-06,4,907.65,29,4,2,5,Others,3630.6
12358.0,2011-07-12,15,286.7,146,3,3,4,Loyal Customers,4300.5
12359.0,2011-10-13,85,2801.28,53,4,5,5,Champions,238108.80000000002
12360.0,2011-10-18,7,426.8,48,4,2,4,Others,2987.6
12361.0,2011-02-25,4,60.0,283,2,2,2,Others,240.0
12362.0,2011-10-28,26,636.95,38,4,4,5,Champions,16560.7
12363.0,2011-04-11,3,47.7,238,3,1,1,Others,143.10000000000002
12364.0,2011-12-02,4,81.9,3,5,2,2,Others,327.6
12365.0,2011-02-21,2,333.44,287,2,1,4,Others,666.88
12369.0,2010-10-22,11,219.65,409,2,3,3,At Risk,2416.15
12370.0,2011-03-10,39,305.65,270,2,4,4,At Risk,11920.349999999999
12371.0,2010-10-26,13,297.69,405,2,3,4,At Risk,3869.97
12372.0,2011-09-29,3,102.0,67,4,1,2,Others,306.0
12373.0,2011-02-01,7,266.9,307,2,2,4,Others,1868.2999999999997
12374.0,2011-11-14,2,59.4,21,5,1,2,Others,118.8
12375.0,2011-11-29,2,80.0,6,5,1,2,Others,160.0
12376.0,2010-11-15,3,134.85,385,2,1,3,Others,404.54999999999995
12377.0,2011-01-28,7,241.3,311,2,2,4,Others,1689.1000000000001
12378.0,2011-08-02,36,682.42,125,3,4,5,Loyal Customers,24567.12
12379.0,2011-09-19,4,124.9,77,4,2,3,Others,499.6
12380.0,2011-10-14,17,2053.6,52,4,3,5,Loyal Customers,34911.2
12381.0,2011-11-06,14,271.6,29,4,3,4,Loyal Customers,3802.4000000000005
12383.0,2011-06-08,11,190.9,180,3,3,3,Loyal Customers,2099.9
